time,open,high,low,close,Volume,Volume MA
2023-08-23T12:00:00+07:00,26038,26043,25984,26041,12.65347733,86.95000936900087
2023-08-23T13:00:00+07:00,26042,26165,26030,26043,69.02070106,89.83039081850086
2023-08-23T14:00:00+07:00,26060,26115,26008,26051,78.28849661,93.31918729250086
2023-08-23T15:00:00+07:00,26051,26078,26019,26021,29.51099235,91.00280642250087
2023-08-23T16:00:00+07:00,26026,26044,26004,26031,11.4000742,84.26163742400087
2023-08-23T17:00:00+07:00,26030,26030,25952,25959,41.83007167,79.96272418300086
2023-08-23T18:00:00+07:00,25959,25959,25904,25926,27.47865552,77.60324164050087
2023-08-23T19:00:00+07:00,25926,25953,25828,25832,76.13407814,72.53486323750086
2023-08-23T20:00:00+07:00,25830,26019,25805,26006,155.31434193,73.52761217550086
2023-08-23T21:00:00+07:00,26010,26118,25916,26031,157.51991791,77.53977703950086
2023-08-23T22:00:00+07:00,26032,26167,26013,26130,63.83620454,76.86950291000086
2023-08-23T23:00:00+07:00,26134,26468,26119,26383,296.84501794,87.31498904050086
2023-08-24T00:00:00+07:00,26390,26598,26359,26539,192.76264668,75.90195165750086
2023-08-24T01:00:00+07:00,26531,26557,26430,26458,79.98726254,76.88285358800087
2023-08-24T02:00:00+07:00,26451,26800,26441,26626,261.05498218,85.57933091650087
2023-08-24T03:00:00+07:00,26619,26711,26536,26590,187.16870366,92.14052496400086
2023-08-24T04:00:00+07:00,26585,26618,26223,26322,370.17728727,109.93797506700086
2023-08-24T05:00:00+07:00,26319,26476,26299,26454,88.82296747,113.99110873650086
2023-08-24T06:00:00+07:00,26445,26532,26408,26431,115.12345848,117.32340799100086
2023-08-24T07:00:00+07:00,26429,26532,26424,26509,52.04713439,118.34882359350085
2023-08-24T08:00:00+07:00,26510,26523,26348,26348,75.11949083,121.47212426850085
2023-08-24T09:00:00+07:00,26348,26409,26348,26371,8.95617926,118.46889817850085
2023-08-24T10:00:00+07:00,26371,26441,26371,26438,13.06674778,115.20781073700084
2023-08-24T11:00:00+07:00,26435,26468,26408,26455,33.68131176,115.41632670750084
2023-08-24T12:00:00+07:00,26451,26477,26412,26416,9.39837278,115.31624163650085
2023-08-24T13:00:00+07:00,26415,26502,26390,26447,18.7587286,114.16267448300084
2023-08-24T14:00:00+07:00,26445,26488,26428,26472,30.29967643,114.30372552850085
2023-08-24T15:00:00+07:00,26476,26491,26418,26491,22.26855209,111.61044922600085
2023-08-24T16:00:00+07:00,26490,26562,26427,26432,70.480019,107.36873307950086
2023-08-24T17:00:00+07:00,26432,26472,26408,26469,23.35495343,100.66048485550087
