time,open,high,low,close,volume,volume_ma
2023-09-13T05:00:00+07:00,1913.43,1913.795,1913.285,1913.475,827,5614.15
2023-09-13T06:00:00+07:00,1913.475,1913.775,1912.51,1912.95,778,5420.25
2023-09-13T07:00:00+07:00,1912.95,1913.76,1912.525,1912.635,2596,5405.05
2023-09-13T08:00:00+07:00,1912.635,1913.9,1910.775,1911.48,4946,5517.55
2023-09-13T09:00:00+07:00,1911.48,1911.905,1908.95,1909.155,4260,5538.75
2023-09-13T10:00:00+07:00,1909.155,1909.695,1908.29,1909.68,3782,5440.7
2023-09-13T11:00:00+07:00,1909.68,1912.045,1909.495,1911.705,2784,5337.45
2023-09-13T12:00:00+07:00,1911.705,1912.72,1909.335,1910.25,4311,5302.95
2023-09-13T13:00:00+07:00,1910.25,1910.57,1908.28,1910.005,6033,5414.0
2023-09-13T14:00:00+07:00,1910.005,1912.185,1909.335,1912.07,5792,5388.65
2023-09-13T15:00:00+07:00,1912.07,1912.65,1911.215,1912.26,5017,5242.8
2023-09-13T16:00:00+07:00,1912.26,1912.505,1910.83,1911.26,4065,4871.0
2023-09-13T17:00:00+07:00,1911.26,1912.64,1910.865,1912.635,3014,4268.8
2023-09-13T18:00:00+07:00,1912.635,1913.165,1911.415,1912.365,3959,3872.3
2023-09-13T19:00:00+07:00,1912.365,1914.62,1905.695,1912.365,21461,4602.25
2023-09-13T20:00:00+07:00,1912.365,1915.815,1909.41,1913.405,21115,5386.0
2023-09-13T21:00:00+07:00,1913.405,1914.8,1909.805,1912.715,14042,5854.2
2023-09-13T22:00:00+07:00,1912.715,1913.59,1909.285,1910.475,7778,6075.9
2023-09-13T23:00:00+07:00,1910.475,1911.75,1908.94,1909.46,6476,6245.15
2023-09-14T00:00:00+07:00,1909.46,1911.24,1908.215,1910.09,5557,6429.65
2023-09-14T01:00:00+07:00,1910.09,1910.43,1908.895,1909.425,2792,6527.9
2023-09-14T02:00:00+07:00,1909.425,1909.425,1908.525,1908.895,3470,6662.5
2023-09-14T03:00:00+07:00,1908.895,1909.01,1908.245,1908.32,1535,6609.45
2023-09-14T05:00:00+07:00,1908.32,1909.89,1908.32,1908.89,992,6411.75
2023-09-14T06:00:00+07:00,1908.89,1909.665,1907.58,1909.295,1471,6272.3
2023-09-14T07:00:00+07:00,1909.295,1912.865,1909.05,1912.69,2526,6209.5
2023-09-14T08:00:00+07:00,1912.69,1912.97,1910.685,1911.13,6756,6408.1
2023-09-14T09:00:00+07:00,1911.13,1911.405,1908.88,1910.01,5838,6484.45
2023-09-14T10:00:00+07:00,1910.01,1910.685,1908.91,1909.77,3355,6350.55
2023-09-14T11:00:00+07:00,1909.77,1910.745,1909.235,1909.505,2107,6166.3
2023-09-14T12:00:00+07:00,1909.505,1911.08,1907.77,1908.08,4651,6148.0
2023-09-14T13:00:00+07:00,1908.08,1908.69,1907.055,1907.36,5874,6238.45
2023-09-14T14:00:00+07:00,1907.36,1907.545,1905.24,1905.935,5518,6363.65
