time,open,high,low,close,volume,volume_ma
2021-07-11T23:00:00+07:00,2144.89,2156.0,2128.23,2148.95,3424.631329,1797.8714332500404
2021-07-12T00:00:00+07:00,2148.96,2150.49,2140.07,2141.99,1664.007113,1827.7146611000403
2021-07-12T01:00:00+07:00,2141.98,2144.82,2135.1,2142.44,596.122313,1804.2844936000408
2021-07-12T02:00:00+07:00,2142.81,2144.11,2130.77,2135.1,400.638109,1759.0009568000405
2021-07-12T03:00:00+07:00,2134.81,2141.35,2128.23,2129.02,603.446344,1689.9627375500409
2021-07-12T04:00:00+07:00,2129.62,2174.86,2124.24,2164.88,3939.027885,1828.717966100041
2021-07-12T05:00:00+07:00,2165.67,2172.77,2148.41,2149.57,2728.698969,1910.4462042500409
2021-07-12T06:00:00+07:00,2149.62,2149.68,2134.48,2140.52,922.368155,1854.4465772000403
2021-07-12T07:00:00+07:00,2141.49,2142.25,2126.27,2131.39,1582.467752,1854.66883120004
2021-07-12T08:00:00+07:00,2131.36,2139.21,2127.13,2136.67,991.981593,1792.8153678500398
2021-07-12T09:00:00+07:00,2136.67,2157.0,2133.07,2154.0,1528.315591,1781.75174480004
2021-07-12T10:00:00+07:00,2154.01,2168.03,2152.25,2163.65,2124.506094,1819.39647835004
2021-07-12T11:00:00+07:00,2163.92,2167.41,2146.5,2148.29,1837.039284,1771.5241818500394
2021-07-12T12:00:00+07:00,2148.08,2151.61,2139.37,2150.09,1073.381037,1711.2698436000396
2021-07-12T13:00:00+07:00,2150.09,2160.84,2142.45,2156.64,1131.250403,1683.3265843000397
2021-07-12T14:00:00+07:00,2156.81,2160.68,2144.32,2146.49,1233.416484,1651.2288510500396
2021-07-12T15:00:00+07:00,2146.48,2157.63,2141.4,2144.0,1192.663312,1652.7909548000396
2021-07-12T16:00:00+07:00,2143.99,2149.37,2129.7,2132.01,2617.238072,1708.5357328500395
2021-07-12T17:00:00+07:00,2131.87,2131.87,2100.6,2110.64,3524.85616,1784.6019477000395
2021-07-12T18:00:00+07:00,2110.63,2114.92,2100.88,2100.88,1382.567002,1724.9311500500396
2021-07-12T19:00:00+07:00,2100.87,2110.97,2092.11,2109.47,2329.742975,1670.1867323500396
2021-07-12T20:00:00+07:00,2109.51,2109.51,2094.42,2106.71,2003.156478,1687.1442006000393
2021-07-12T21:00:00+07:00,2106.76,2106.95,2096.28,2097.96,1609.458394,1737.8110046500394
2021-07-12T22:00:00+07:00,2097.96,2099.57,2084.01,2087.7,2148.026226,1825.18041050004
2021-07-12T23:00:00+07:00,2087.69,2097.45,2033.0,2049.28,9153.609615,2252.68857405004
2021-07-13T00:00:00+07:00,2049.71,2052.0,2026.92,2030.5,2672.662292,2189.37029440004
2021-07-13T01:00:00+07:00,2030.38,2039.5,2010.0,2024.08,3986.600971,2252.26539450004
2021-07-13T02:00:00+07:00,2024.42,2049.0,2006.0,2019.87,3904.812809,2401.38762720004
2021-07-13T03:00:00+07:00,2020.0,2036.25,2009.47,2026.94,1905.225511,2417.52551515004
2021-07-13T04:00:00+07:00,2027.25,2037.25,2026.16,2029.68,881.525423,2412.00270665004
2021-07-13T05:00:00+07:00,2029.81,2043.7,2029.11,2036.54,2311.013255,2451.13758985004
2021-07-13T06:00:00+07:00,2036.73,2040.1,2028.89,2032.03,1498.532753,2419.838922800041
